strategy_name,stock_code,stock_name,trade_date,buy_price,sell_price,sell_date,return_rate,profit,is_profitable,sell_tick_steps
倒接力31,600686.SH,未知,2024-09-06,14.46,13.77,2024-09-09,-0.04771784232365154,-9522.0,False,12
倒接力31,000516.SZ,未知,2024-09-10,4.78,4.51,2024-09-11,-0.05648535564853566,-10746.0,False,228
倒接力31,003015.SZ,未知,2024-09-11,13.55,13.37,2024-09-12,-0.013284132841328523,-2376.0,False,30
倒接力31,002866.SZ,未知,2024-09-13,13.97,13.0,2024-09-18,-0.06943450250536869,-12222.0,False,6
倒接力31,002466.SZ,未知,2024-09-25,28.11,35.02,2024-09-30,0.2458199928850944,40078.00000000003,True,151
倒接力31,600239.SH,未知,2024-09-27,2.5,2.9,2024-09-30,0.15999999999999998,32800.0,True,170
倒接力31,002050.SZ,未知,2024-09-30,22.76,25.73,2024-10-08,0.13049209138840065,30887.99999999997,True,132
倒接力31,002119.SZ,未知,2024-10-09,13.85,13.83,2024-10-10,-0.0014440433212996083,-388.0,False,48
倒接力31,603052.SH,未知,2024-10-11,37.2,36.49,2024-10-14,-0.019086021505376364,-5112.0,False,151
倒接力31,000801.SZ,未知,2024-10-15,10.18,11.84,2024-10-17,0.16306483300589392,42828.0,True,903
倒接力31,002630.SZ,未知,2024-10-16,3.08,3.35,2024-10-17,0.08766233766233766,26838.0,True,82
倒接力31,000402.SZ,未知,2024-10-17,3.5,3.12,2024-10-18,-0.10857142857142854,-36138.0,False,26
倒接力31,002625.SZ,未知,2024-10-18,32.69,37.54,2024-10-22,0.1483634138880392,43650.0,True,385
倒接力31,600418.SH,未知,2024-10-21,34.0,35.49,2024-10-22,0.04382352941176476,14900.0,True,1234
倒接力31,600100.SH,未知,2024-10-22,7.2,7.39,2024-10-24,0.02638888888888882,9367.0,True,389
倒接力31,601162.SH,未知,2024-10-23,5.51,5.8,2024-10-24,0.05263157894736843,19198.0,True,961
倒接力31,000595.SZ,未知,2024-10-24,10.1,9.7,2024-10-25,-0.03960396039603964,-15200.0,False,2
倒接力31,002542.SZ,未知,2024-10-25,2.69,4.66,2024-10-31,0.7323420074349444,270087.0,True,-1
倒接力31,600696.SH,未知,2024-10-28,14.99,17.08,2024-10-29,0.13942628418945952,89033.99999999988,True,2258
倒接力31,002423.SZ,未知,2024-10-30,19.11,22.01,2024-10-31,0.15175300889586615,110200.00000000012,True,208
倒接力31,002321.SZ,未知,2024-10-31,2.19,2.36,2024-11-01,0.07762557077625568,65059.0,True,651
倒接力31,002513.SZ,未知,2024-11-01,5.4,6.14,2024-11-04,0.1370370370370369,123727.99999999988,True,342
倒接力31,002568.SZ,未知,2024-11-04,24.15,25.24,2024-11-05,0.045134575569358175,46325.00000000012,True,492
倒接力31,603019.SH,未知,2024-11-05,68.06,70.85,2024-11-06,0.04099324125771366,43803.0,True,46
倒接力31,600751.SH,未知,2024-11-06,3.18,3.06,2024-11-07,-0.03773584905660381,-42144.0,False,2
倒接力31,603489.SH,未知,2024-11-07,26.88,25.06,2024-11-08,-0.06770833333333334,-72618.0,False,1481
倒接力31,600536.SH,未知,2024-11-08,62.48,68.21,2024-11-11,0.09170934699103708,91680.0,True,718
倒接力31,002992.SZ,未知,2024-11-11,65.43,72.5,2024-11-12,0.10805440929237341,118069.0,True,1302
倒接力31,603009.SH,未知,2024-11-12,31.52,30.14,2024-11-13,-0.043781725888324845,-52992.0,False,28
倒接力31,000795.SZ,未知,2024-11-13,15.27,12.42,2024-11-14,-0.1866404715127701,-216315.0,False,4
倒接力31,002779.SZ,未知,2024-11-14,55.51,58.74,2024-11-15,0.05818771392541892,54587.0,True,37
倒接力31,600345.SH,未知,2024-11-18,27.17,26.65,2024-11-19,-0.019138755980861358,-19084.000000000116,False,2
倒接力31,002501.SZ,未知,2024-11-19,1.81,1.69,2024-11-20,-0.06629834254143652,-64848.0,False,2
倒接力31,600292.SH,未知,2024-11-20,15.0,14.99,2024-11-21,-0.0006666666666666524,-608.0,False,387
倒接力31,002392.SZ,未知,2024-11-21,4.84,4.73,2024-11-22,-0.02272727272727261,-20734.999999999884,False,113
倒接力31,002713.SZ,未知,2024-11-22,4.78,4.57,2024-11-25,-0.04393305439330543,-39186.0,False,12
倒接力31,603585.SH,未知,2024-11-25,13.73,15.85,2024-11-28,0.15440640932265107,131652.0,True,655
倒接力31,003021.SZ,未知,2024-12-02,78.0,80.46,2024-12-03,0.03153846153846146,30995.999999999884,True,418
倒接力31,600635.SH,未知,2024-12-03,4.63,4.51,2024-12-05,-0.025917926565874754,-26316.0,False,88
倒接力31,603669.SH,未知,2024-12-04,7.5,8.78,2024-12-05,0.17066666666666658,168704.0,True,208
倒接力31,000903.SZ,未知,2024-12-05,4.13,4.92,2024-12-06,0.19128329297820826,221437.0,True,579
倒接力31,600178.SH,未知,2024-12-06,13.54,13.82,2024-12-12,0.020679468242245286,28504.0,True,770
倒接力31,002403.SZ,未知,2024-12-09,16.06,20.9,2024-12-11,0.30136986301369867,423983.99999999977,True,151
倒接力31,603015.SH,未知,2024-12-11,13.42,12.04,2024-12-12,-0.10283159463487339,-188370.0,False,34
倒接力31,002495.SZ,未知,2024-12-12,3.16,3.08,2024-12-13,-0.025316455696202552,-41600.0,False,419
倒接力31,605388.SH,未知,2024-12-13,8.21,7.7,2024-12-16,-0.06211936662606585,-99501.00000000023,False,2
倒接力31,002402.SZ,未知,2024-12-16,21.98,20.41,2024-12-17,-0.07142857142857144,-107231.0,False,2
倒接力31,002529.SZ,未知,2024-12-17,10.35,9.4,2024-12-18,-0.0917874396135265,-127965.0,False,29
倒接力31,002181.SZ,未知,2024-12-18,8.88,10.12,2024-12-19,0.13963963963963946,176948.0,True,667
倒接力31,000788.SZ,未知,2024-12-19,7.1,6.81,2024-12-20,-0.04084507042253522,-58957.0,False,6
倒接力31,603629.SH,未知,2024-12-20,19.57,21.89,2024-12-23,0.11854879918242209,164024.0,True,770
倒接力31,002045.SZ,未知,2024-12-23,22.97,21.73,2024-12-24,-0.05398345668262945,-83576.0,False,16
倒接力31,603759.SH,未知,2024-12-24,8.48,8.31,2024-12-25,-0.020047169811320747,-29376.0,False,25
倒接力31,603719.SH,未知,2024-12-25,15.19,15.53,2024-12-26,0.02238314680710993,32130.0,True,2084
倒接力31,603711.SH,未知,2024-12-26,18.9,18.79,2024-12-27,-0.0058201058201057905,-8536.0,False,385
倒接力31,603236.SH,未知,2024-12-27,73.18,71.2,2024-12-30,-0.027056572834107732,-39402.00000000023,False,28
倒接力31,001258.SZ,未知,2024-12-30,8.5,8.19,2024-12-31,-0.03647058823529418,-51801.0,False,5
倒接力31,600398.SH,未知,2024-12-31,7.46,8.01,2025-01-02,0.07372654155495977,100870.0,True,170
倒接力31,002269.SZ,未知,2025-01-03,2.31,2.43,2025-01-06,0.05194805194805199,76332.0,True,50
倒接力31,002552.SZ,未知,2025-01-06,14.46,15.13,2025-01-07,0.04633471645919778,71623.0,True,46
倒接力31,601226.SH,未知,2025-01-07,7.53,7.35,2025-01-08,-0.0239043824701196,-38664.0,False,15
倒接力31,002187.SZ,未知,2025-01-08,7.37,7.68,2025-01-09,0.0420624151967435,66402.0,True,549
倒接力31,003021.SZ,未知,2025-01-09,78.47,94.77,2025-01-10,0.2077226965719383,340670.0,True,1690
倒接力31,002050.SZ,未知,2025-01-10,25.8,26.56,2025-01-13,0.029457364341085195,58444.0,True,76
倒接力31,002265.SZ,未知,2025-01-13,31.65,32.98,2025-01-16,0.04202211690363344,85785.0,True,46
倒接力31,002878.SZ,未知,2025-01-15,17.55,17.1,2025-01-17,-0.0256410256410256,-54584.99999999977,False,2
倒接力31,603270.SH,未知,2025-01-16,21.57,21.1,2025-01-17,-0.021789522484932725,-45213.99999999977,False,277
倒接力31,600183.SH,未知,2025-01-20,28.44,28.86,2025-01-21,0.014767932489451411,29946.0,True,113
倒接力31,002718.SZ,未知,2025-01-23,15.99,16.03,2025-01-24,0.002501563477173291,5152.000000000233,True,46
倒接力31,600184.SH,未知,2025-01-24,11.17,10.68,2025-01-27,-0.04386750223813789,-90601.0,False,2
倒接力31,001282.SZ,未知,2025-01-27,27.35,26.34,2025-02-05,-0.036928702010968976,-72922.0,False,88
倒接力31,002394.SZ,未知,2025-02-05,8.24,7.99,2025-02-07,-0.03033980582524272,-57700.0,False,29
倒接力31,000503.SZ,未知,2025-02-06,10.86,11.67,2025-02-10,0.07458563535911607,137538.0,True,394
倒接力31,002906.SZ,未知,2025-02-07,35.1,34.97,2025-02-11,-0.0037037037037037763,-7332.0,False,144
倒接力31,603612.SH,未知,2025-02-10,16.38,16.5,2025-02-11,0.007326007326007388,14460.000000000233,True,210
倒接力31,600979.SH,未知,2025-02-11,5.16,5.41,2025-02-12,0.04844961240310077,96350.0,True,1056
倒接力31,600186.SH,未知,2025-02-12,7.47,7.2,2025-02-13,-0.036144578313252955,-75357.0,False,385
倒接力31,600845.SH,未知,2025-02-13,33.8,36.32,2025-02-17,0.07455621301775157,149688.00000000023,True,874
倒接力31,000880.SZ,未知,2025-02-17,23.7,22.86,2025-02-19,-0.03544303797468354,-76524.0,False,240
倒接力31,603516.SH,未知,2025-02-18,56.12,54.03,2025-02-19,-0.03724162508909473,-77539.0,False,8
倒接力31,603315.SH,未知,2025-02-20,13.68,14.62,2025-02-21,0.06871345029239763,137710.0,True,46
倒接力31,002272.SZ,未知,2025-02-21,11.48,12.3,2025-02-24,0.07142857142857145,153012.0,True,687
倒接力31,000815.SZ,未知,2025-02-24,12.54,12.25,2025-02-25,-0.02312599681020727,-53099.0,False,2
倒接力31,603767.SH,未知,2025-02-27,14.45,13.83,2025-02-28,-0.04290657439446362,-96224.0,False,2
倒接力31,002042.SZ,未知,2025-02-28,6.2,5.78,2025-03-03,-0.06774193548387096,-145404.0,False,2
倒接力31,002759.SZ,未知,2025-03-04,9.5,8.98,2025-03-05,-0.05473684210526311,-109512.0,False,2
倒接力31,601020.SH,未知,2025-03-05,17.36,22.55,2025-03-07,0.2989631336405531,565191.0,True,151
倒接力31,603166.SH,未知,2025-03-06,12.16,13.01,2025-03-07,0.06990131578947366,171700.0,True,387
倒接力31,603822.SH,未知,2025-03-07,57.4,59.71,2025-03-10,0.04024390243902443,105567.0,True,404
倒接力31,605100.SH,未知,2025-03-11,28.8,33.06,2025-03-12,0.14791666666666672,404274.0,True,113
倒接力31,002195.SZ,未知,2025-03-12,7.15,6.7,2025-03-13,-0.06293706293706296,-197505.0,False,8
倒接力31,603788.SH,未知,2025-03-13,19.08,17.93,2025-03-14,-0.06027253668763096,-177214.99999999953,False,47
倒接力31,600429.SH,未知,2025-03-17,4.68,4.55,2025-03-18,-0.027777777777777755,-76765.0,False,8
倒接力31,002048.SZ,未知,2025-03-18,18.7,18.06,2025-03-19,-0.03422459893048131,-91904.0,False,46
倒接力31,603966.SH,未知,2025-03-19,9.4,9.27,2025-03-20,-0.013829787234042636,-35880.0,False,83
倒接力31,600579.SH,未知,2025-03-24,9.35,8.92,2025-03-25,-0.0459893048128342,-117691.0,False,2
倒接力31,000541.SZ,未知,2025-03-25,8.58,8.7,2025-03-26,0.013986013986013894,34140.0,True,535
倒接力31,600593.SH,未知,2025-03-27,36.5,34.98,2025-03-28,-0.04164383561643844,-103056.0,False,103
倒接力31,601069.SH,未知,2025-03-31,15.49,16.72,2025-04-01,0.07940606843124588,188313.0,True,181
倒接力31,603072.SH,未知,2025-04-03,49.04,55.23,2025-04-07,0.12622349102773242,323118.0,True,387
倒接力31,002165.SZ,未知,2025-04-07,7.3,7.13,2025-04-08,-0.023287671232876703,-67150.0,False,113
倒接力31,600354.SH,未知,2025-04-08,6.38,7.49,2025-04-09,0.17398119122257058,490065.0,True,113
倒接力31,002100.SZ,未知,2025-04-09,6.78,6.59,2025-04-10,-0.028023598820059052,-92663.0,False,2
倒接力31,603069.SH,未知,2025-04-10,18.41,19.27,2025-04-11,0.046713742531233,150156.0,True,894
倒接力31,002685.SZ,未知,2025-04-14,6.44,6.56,2025-04-15,0.018633540372670686,62688.0,True,398
倒接力31,600590.SH,未知,2025-04-15,10.5,9.98,2025-04-16,-0.049523809523809484,-169728.0,False,24
倒接力31,001368.SZ,未知,2025-04-18,23.5,22.22,2025-04-21,-0.05446808510638303,-177408.0,False,2
倒接力31,002796.SZ,未知,2025-04-21,12.0,11.68,2025-04-23,-0.02666666666666669,-82112.0,False,88
倒接力31,001337.SZ,未知,2025-04-22,27.29,26.86,2025-04-23,-0.015756687431293503,-47214.0,False,275
倒接力31,600800.SH,未知,2025-04-25,3.35,3.23,2025-04-28,-0.03582089552238809,-105696.0,False,5
倒接力31,002068.SZ,未知,2025-04-28,11.9,11.25,2025-04-29,-0.054621848739495826,-155350.0,False,2
倒接力31,603286.SH,未知,2025-04-30,32.12,34.64,2025-05-06,0.07845579078455801,210924.0,True,385
倒接力31,000665.SZ,未知,2025-05-06,5.01,5.04,2025-05-07,0.005988023952095858,17367.0,True,435
倒接力31,603086.SH,未知,2025-05-07,9.86,9.51,2025-05-08,-0.03549695740365108,-103565.0,False,2
倒接力31,002977.SZ,未知,2025-05-08,34.95,40.25,2025-05-09,0.15164520743919876,426650.0,True,18
倒接力31,603338.SH,未知,2025-05-13,51.99,49.44,2025-05-14,-0.0490478938257358,-158865.0,False,2
倒接力31,000710.SZ,未知,2025-05-14,13.99,13.77,2025-05-15,-0.015725518227305262,-48466.0,False,385
倒接力31,002961.SZ,未知,2025-05-15,16.73,16.31,2025-05-16,-0.02510460251046035,-76146.0,False,35
倒接力31,605188.SH,未知,2025-05-19,13.65,14.5,2025-05-20,0.062271062271062244,184110.0,True,168
倒接力31,600530.SH,未知,2025-05-20,8.0,7.98,2025-05-21,-0.0024999999999999467,-7854.0,False,134
倒接力31,002882.SZ,未知,2025-05-21,19.2,23.01,2025-05-22,0.19843750000000013,621792.0000000005,True,56
倒接力31,002365.SZ,未知,2025-05-22,17.84,21.95,2025-05-27,0.23038116591928248,865155.0,True,496
倒接力31,605033.SH,未知,2025-05-23,19.79,18.52,2025-05-26,-0.06417382516422433,-296418.0,False,24
倒接力31,002727.SZ,未知,2025-05-26,19.5,18.81,2025-05-27,-0.03538461538461545,-152973.00000000047,False,4
倒接力31,603960.SH,未知,2025-05-27,22.43,21.17,2025-05-28,-0.05617476593847517,-234233.99999999953,False,2
倒接力31,003042.SZ,未知,2025-05-28,18.2,16.99,2025-05-29,-0.06648351648351654,-261723.00000000047,False,25
倒接力31,603011.SH,未知,2025-05-29,17.94,19.4,2025-05-30,0.08138238573021166,299007.99999999907,True,265
倒接力31,002609.SZ,未知,2025-05-30,11.47,10.75,2025-06-03,-0.06277244986922412,-249480.0,False,8
倒接力31,603518.SH,未知,2025-06-04,11.85,13.43,2025-06-05,0.13333333333333333,496594.0,True,572
倒接力31,603238.SH,未知,2025-06-05,18.81,17.88,2025-06-06,-0.04944178628389154,-208692.0,False,2
倒接力31,002250.SZ,未知,2025-06-06,12.02,15.18,2025-06-10,0.2628951747088187,1054808.0,True,389
倒接力31,600151.SH,未知,2025-06-09,7.39,7.03,2025-06-11,-0.04871447902571034,-246852.0,False,88
倒接力31,002878.SZ,未知,2025-06-10,19.66,23.7,2025-06-13,0.20549338758901317,990608.0,True,507
倒接力31,603906.SH,未知,2025-06-11,15.38,14.5,2025-06-12,-0.05721716514954491,-332464.0,False,11
倒接力31,002734.SZ,未知,2025-06-12,22.7,22.2,2025-06-13,-0.022026431718061675,-120650.0,False,9
倒接力31,002366.SZ,未知,2025-06-13,7.5,7.87,2025-06-17,0.04933333333333335,264328.0,True,581
倒接力31,002657.SZ,未知,2025-06-17,25.71,26.42,2025-06-18,0.027615713730066153,155206.0,True,570
倒接力31,603256.SH,未知,2025-06-23,13.85,13.29,2025-06-24,-0.04043321299638993,-233576.0,False,2
倒接力31,600201.SH,未知,2025-06-24,7.95,8.11,2025-06-25,0.020125786163521918,111584.0,True,385
倒接力31,002281.SZ,未知,2025-06-25,48.12,49.56,2025-06-30,0.029925187032419056,169200.0,True,680
倒接力31,603123.SH,未知,2025-06-26,14.6,14.65,2025-06-27,0.003424657534246624,19945.0,True,202
倒接力31,002579.SZ,未知,2025-06-30,14.5,14.65,2025-07-01,0.01034482758620692,60465.0,True,385
倒接力31,600684.SH,未知,2025-07-01,4.47,4.39,2025-07-02,-0.017897091722595095,-105688.0,False,15
倒接力31,603124.SH,未知,2025-07-02,53.46,54.11,2025-07-03,0.012158623269734353,70460.0,True,530
倒接力31,600876.SH,未知,2025-07-03,12.06,11.75,2025-07-07,-0.025704809286898878,-150877.0,False,2
倒接力31,002938.SZ,未知,2025-07-04,35.81,39.48,2025-07-07,0.10248533929070076,586098.9999999991,True,75
倒接力31,002020.SZ,未知,2025-07-07,15.6,14.79,2025-07-08,-0.051923076923076954,-327402.0,False,2
倒接力31,002366.SZ,未知,2025-07-08,9.91,9.56,2025-07-09,-0.03531786074672045,-211120.0,False,174
倒接力31,002865.SZ,未知,2025-07-09,42.8,44.68,2025-07-11,0.043925233644859875,253236.0,True,285
倒接力31,002623.SZ,未知,2025-07-14,26.58,27.21,2025-07-15,0.023702031602708902,142632.0,True,424
倒接力31,603617.SH,未知,2025-07-17,8.05,9.06,2025-07-18,0.12546583850931672,773154.9999999991,True,724
倒接力31,002246.SZ,未知,2025-07-18,16.7,23.68,2025-07-23,0.4179640718562875,2898794.0,True,94
倒接力31,600629.SH,未知,2025-07-21,10.34,11.58,2025-07-22,0.11992263056092846,1179364.0,True,18
倒接力31,600585.SH,未知,2025-07-22,25.74,25.89,2025-07-23,0.00582750582750591,64185.0,True,46
倒接力31,601699.SH,未知,2025-07-23,13.55,13.11,2025-07-24,-0.03247232472324733,-359700.0,False,2
倒接力31,603716.SH,未知,2025-07-24,28.6,33.26,2025-07-25,0.1629370629370628,1746102.0,True,674
倒接力31,600259.SH,未知,2025-07-25,63.54,64.71,2025-07-29,0.018413597733710964,229436.99999999814,True,417
倒接力31,600895.SH,未知,2025-07-28,30.58,32.18,2025-07-30,0.05232177894048402,664160.0,True,550
倒接力31,002174.SZ,未知,2025-07-29,15.16,15.34,2025-07-30,0.011873350923482831,158598.0,True,689
倒接力31,600581.SH,未知,2025-07-30,4.12,4.44,2025-07-31,0.07766990291262142,1049856.0000000019,True,46
倒接力31,601869.SH,未知,2025-07-31,50.0,51.19,2025-08-01,0.023799999999999953,346647.0,True,401
倒接力31,002424.SZ,未知,2025-08-01,6.12,6.46,2025-08-04,0.05555555555555553,828512.0,True,118
倒接力31,603286.SH,未知,2025-08-04,31.4,34.33,2025-08-05,0.09331210191082802,1468809.0,True,393
倒接力31,002558.SZ,未知,2025-08-05,27.05,27.68,2025-08-06,0.023290203327171865,400806.0,True,865
倒接力31,600610.SH,未知,2025-08-06,13.74,13.31,2025-08-07,-0.03129548762736534,-551131.0,False,26
倒接力31,600651.SH,未知,2025-08-08,6.34,6.74,2025-08-12,0.06309148264984232,1076360.0,True,387
倒接力31,601089.SH,未知,2025-08-11,30.11,30.16,2025-08-12,0.0016605778811026473,30115.0,True,385
倒接力31,603757.SH,未知,2025-08-12,34.1,46.99,2025-08-15,0.3780058651026393,6866503.0,True,37
倒接力31,000006.SZ,未知,2025-08-13,7.59,7.36,2025-08-14,-0.03030303030303024,-758586.0,False,2
倒接力31,603031.SH,未知,2025-08-14,32.67,36.14,2025-08-15,0.10621365166819709,2578210.0,True,2163
倒接力31,600410.SH,未知,2025-08-15,18.66,20.67,2025-08-18,0.10771704180064318,2892390.0000000037,True,222
倒接力31,002873.SZ,未知,2025-08-18,12.73,15.02,2025-08-19,0.17989002356637857,5350814.0,True,56
倒接力31,002871.SZ,未知,2025-08-19,16.45,16.72,2025-08-21,0.016413373860182344,576045.0,True,46
倒接力31,002382.SZ,未知,2025-08-20,6.77,6.56,2025-08-21,-0.031019202363367797,-1106511.0,False,50
倒接力31,600864.SH,未知,2025-08-21,8.58,7.76,2025-08-22,-0.09557109557109561,-3303452.0,False,110
倒接力31,002369.SZ,未知,2025-08-22,11.12,10.93,2025-08-25,-0.017086330935251755,-534146.9999999963,False,16
倒接力31,601208.SH,未知,2025-08-25,19.57,18.83,2025-08-26,-0.037812979049565765,-1161874.0000000037,False,2
倒接力31,002600.SZ,未知,2025-08-26,14.06,15.57,2025-08-27,0.10739687055476527,3175228.0,True,447
倒接力31,605188.SH,未知,2025-08-27,15.51,20.34,2025-08-29,0.3114119922630561,10196130.0,True,1532
倒接力31,002053.SZ,未知,2025-08-28,12.76,14.9,2025-08-29,0.16771159874608155,7201100.0,True,146
倒接力31,002815.SZ,未知,2025-08-29,18.35,17.45,2025-09-01,-0.04904632152588567,-2459070.0000000075,False,240
倒接力31,605288.SH,未知,2025-09-01,81.3,87.82,2025-09-02,0.08019680196801963,3823327.9999999925,True,449
倒接力31,603986.SH,未知,2025-09-02,179.0,174.26,2025-09-03,-0.026480446927374352,-1363698.0,False,21
倒接力31,603179.SH,未知,2025-09-03,57.5,55.91,2025-09-04,-0.02765217391304354,-1386321.0,False,2
倒接力31,002335.SZ,未知,2025-09-08,56.46,53.38,2025-09-09,-0.0545518951470067,-2659272.0,False,120
倒接力31,603822.SH,未知,2025-09-09,88.5,85.78,2025-09-10,-0.030734463276836144,-1416576.0,False,2
倒接力31,000892.SZ,未知,2025-09-10,6.81,6.16,2025-09-11,-0.09544787077826718,-4264325.0,False,5
倒接力31,002384.SZ,未知,2025-09-11,75.9,78.7,2025-09-12,0.03689064558629772,1490720.0,True,46
倒接力31,603222.SH,未知,2025-09-12,14.13,13.19,2025-09-15,-0.0665251238499647,-2787570.0,False,19
倒接力31,603127.SH,未知,2025-09-15,38.71,41.19,2025-09-16,0.06406613278222673,2505792.0,True,46
倒接力31,002759.SZ,未知,2025-09-17,19.97,17.6,2025-09-18,-0.11867801702553818,-4939554.0,False,2
倒接力31,600143.SH,未知,2025-09-18,22.64,22.04,2025-09-19,-0.02650176678445236,-972120.0,False,385
倒接力31,603686.SH,未知,2025-09-19,22.02,25.43,2025-09-22,0.15485921889191645,5529997.0,True,18
倒接力31,002222.SZ,未知,2025-09-22,53.8,52.21,2025-09-23,-0.02955390334572484,-1218735.0,False,2
倒接力31,002006.SZ,未知,2025-09-23,22.61,22.0,2025-09-24,-0.026979212737726646,-1079700.0,False,261
